키,명칭,대분류,주소,행정 시,행정 구,행정 동,대표전화,면적,지정일,교?안내
BE_IW14-0020,진관내동 생태경관보전지역,생태탐방,은평구 진관동 282-1번지 일대(북한산국립공원 북한산성 입구 주변 습지 ),서울특별시,은평구,진관동,02-2115-7550~5 02-350-1397,16639㎡,2002년 12월 30일,지하철 3호선 구파발역 1번 출구에서 704번 34번 버스를 타고 북한산성 입구에서 하차 도보 10분
BE_IW14-0109,안산공원,산과공원,서울특별시 서대문구 홍제동 산33번지 일대,서울특별시,서대문구,홍제1동,02-330-1395,,,
BE_IW14-0110,여의도공원,산과공원,서울특별시 영등포구 여의공원로68(여의도동 2번지),서울특별시,영등포구,여의동,02-761-4079,,,
BE_IW14-0111,염창공원,산과공원,서울 강서구 염창동 산24-1,서울특별시,강서구,염창동,02-2600-4186,,,
BE_IW14-0112,영등포공원,산과공원,서울특별시 영등포구 영등포동 582-3번지,서울특별시,영등포구,영등포본동,02-2670-3715~7,,,
BE_IW14-0113,오금공원,산과공원,서울 송파구 오금동 5번지 (오금근린공원 관리사무소 옆),서울특별시,송파구,오금동,02-2137-3380,,,
BE_IW14-0114,오동공원,산과공원,서울 강북구 번동 미아동 일대,서울특별시,강북구,번2동,02-901-6924,,,
BE_IW14-0115,온수공원,산과공원,서울 구로구 궁동 개봉동수궁동온수동오류동일대,서울특별시,구로구,궁동,02-860-2321,,,
BE_IW14-0116,올림픽공원,산과공원,서울 송파구 방이동 88번지,서울특별시,송파구,오륜동,02-410-1683~4,,,
BE_IW14-0117,와룡공원,산과공원,서울특별시 종로구 명륜동3가 산2-14,서울특별시,종로구,무악동,02-731-0461/1650,,,
BE_IW14-0118,와우공원,산과공원,(121-880) 서울특별시 마포구 창전동 3-193번지 일대(홍익대 뒷산),서울특별시,마포구,서강동,02-3153-9553,,,
BE_IW14-0119,외국인묘지공원,산과공원,서울 마포구 합정동 145- 8일대,서울특별시,마포구,합정동,02-332-9175,,,
BE_IW14-0120,용두공원,산과공원,(130-070) 서울특별시 동대문구 용두동 34-1번지 일대,서울특별시,동대문구,용신동,02-2127-4772,,,
BE_IW14-0121,용마공원,산과공원,서울 중랑구 면목동 산 1-4,서울특별시,중랑구,면목4동,02-2094-2340~5,,,
BE_IW14-0122,용산가족공원,산과공원,서울특별시 용산구 서빙고로 185,서울특별시,용산구,용산2가동,02-792-5661,,,
BE_IW14-0123,용왕산근린공원,산과공원,서울 양천구 목동 산12-3일대,서울특별시,양천구,목5동,02-2620-3570,,,
BE_IW14-0124,우면산,산과공원,방배동 산92-1,서울특별시,서초구,방배3동,02-2155-6883,,,
BE_IW14-0125,우장공원,산과공원,서울 강서구 화곡동 산60-1,서울특별시,강서구,우장산동,02-2600-4185,,,
BE_IW14-0126,월드컵공원,산과공원,서울특별시 마포구 월드컵로 243-60(성산동 390-1)일대,서울특별시,마포구,성산2동,02-300-5500~2,,,
BE_IW14-0127,월천근린공원,산과공원,(132-040) 서울특별시 도봉구 창동 28번지,서울특별시,도봉구,창4동,02-2091-3754,,,
BE_IW14-0128,인능산,산과공원,내곡동 산12-404 일원,서울특별시,서초구,내곡동,,,,
BE_IW14-0129,인왕산공원,산과공원,서울특별시 종로구 옥인동 산3-1,서울특별시,종로구,청운효자동,02-731-1458,,,
BE_IW14-0130,일자산 도시자연공원,산과공원,서울 강동구 동남로 660(둔촌동 산 140번지) 일대,서울특별시,강동구,둔촌2동,02-3425-6440,,,
BE_IW14-0131,자매공원,산과공원,서울 영등포구 여의도동 56번지,서울특별시,영등포구,여의동,02-2670-3755,,,
BE_IW14-0132,장지공원,산과공원,서울 송파구 장지동 산 11번지,서울특별시,송파구,장지동,02-2137-3380,,,
BE_IW14-0133,중랑캠핑숲,산과공원,중랑캠핑장(중랑구 망우로 87길 110) / 중랑캠핑숲 공원관리사무소(중랑구 송림길 160),서울특별시,중랑구,망우본동,02-435-7168~9,,,
BE_IW14-0134,중마루공원,산과공원,서울특별시 영등포구 영등포동2가 222,서울특별시,영등포구,영등포동,02-2670-3755,,,
BE_IW14-0135,천마공원,산과공원,서울 송파구 마천동 산 1-1,서울특별시,송파구,마천2동,02-2147-3380,,,
BE_IW14-0136,천마근린공원,산과공원,송파구 마천동 산1-1,서울특별시,송파구,마천2동,,,,
BE_IW14-0137,천호공원,산과공원,서울특별시 강동구 올림픽로 702(천호동360번지),서울특별시,강동구,천호2동,02-489-2776,,,
BE_IW14-0138,청량공원,산과공원,서울 성북구 석관동 산 1-5일대,서울특별시,성북구,석관동,02-920-3395,,,
BE_IW14-0139,초안산근린공원,산과공원,서울 도봉구 창동 산48-4번지 일대,서울특별시,도봉구,창1동,02-2091-3753,,,
BE_IW14-0140,초안산생태공원,산과공원,(132-040) 서울특별시 도봉구 창동 산157번지,서울특별시,도봉구,창1동,02-2091-3753,,,
BE_IW14-0141,탑골공원,산과공원,서울특별시 종로구 종로2가 38-1번지,서울특별시,종로구,종로1.2.3.4가동,02-731-0534/1650,,,
BE_IW14-0142,파리공원,산과공원,서울 양천구 목동 906 번지일대,서울특별시,양천구,목5동,02-2620-3570,,,
BE_IW14-0143,푸른수목원,산과공원,(152-140) 서울특별시 구로구 항동 연동로 240( 구주소 : 항동81-1) 푸른수목원관리사무소,서울특별시,구로구,오류2동,02-2686-3200,,,
BE_IW14-0144,효창공원,산과공원,서울 용산구 효창동 255번지 일대,서울특별시,용산구,효창동,02-2199-7593 02-712-3043,,,
BE_IW14-0145,훈련원공원,산과공원,서울특별시 중구 을지로 227,서울특별시,중구,을지로동,02-2268-5810,,,
BE_IW14-0021,고덕동 생태경관보전지역,생태탐방,강동구 고덕동 396일대(암사정수장~하남시계 구간의 한강수변),서울특별시,강동구,고덕1동,02-2115-7550~5 02-3780-0865~6,320377㎡,2004년 10월 20일(2007년 12월 27일 확대지정),올림픽대로 미사리 방향 하일I.C 500m 이전 강동구 음식물재활용센터 부지로 진입(고덕수변생태복원지)
BE_IW14-0022,청계산원터골 생태경관보전지역,생태탐방,서초구 원지동 산4-38번지 일대(청계산 도시자연공원내 원터골 주변 산림),서울특별시,서초구,양재2동,02-2115-7550~5 02-570-6396,146281㎡,2004년 10월 20일,지하철 3호선 양재역 7번 출구로 나와 4432번 버스를 타고 원터골 입구에서 하차 도보 25분
BE_IW14-0003,청계천하류 철새보호구역,생태탐방,고산자교 ~ 청계천 중랑천 합류부,서울특별시,동대문구,용두동,02-2115-7550~5 02-2290-6851,361316㎡(2.0㎞),2006년 03월 10일,지하철 2호선 신답역 지하철 5호선 마장역에서 도보 5분
BE_IW14-0004,안양천하류 철새보호구역,생태탐방,오목교 ~ 목동교 양안(목동종합운동장 옆),서울특별시,양천구,목동,02-2115-7550~5  02-2650-3590 02-2670-4131,318800㎡(1.0㎞),2007년 05월 10일,지하철 5호선 오목교역에서 안양천방향으로 도보 5분
BE_IW14-0005,불암산삼육대 생태경관보전지역,생태탐방,노원구 공릉동 산223-1번지 일대(삼육대학교 뒷산 서어나무군락),서울특별시,노원구,공릉2동,02-2115-7550~5 02-950-3889,204271㎡,2006년 06월 27일,지하철 1호선 석계역 4번 출구 7호선 태릉입구역 7번 출구로 나와 1155 1156 버스 이용
BE_IW14-0006,창덕궁후원 생태경관보전지역,생태탐방,종로구 와룡동 2-71번지 일대(창덕궁내 옥류천 주변 산림),서울특별시,종로구,종로1.2.3.4가동,02-2115-7550~5 02-731-1460~2 02-762-8261/9513,440707㎡,2006년 06월 27일,지하철 1호선 종로 3가역 6번 출구 지하철 3호선 안국역 3번 출구
BE_IW14-0007,봉산 생태경관보전지역,생태탐방,은평구 신사동 산93-16번지 일대(봉산 도시자연공원내 팥배나무군락),서울특별시,은평구,신사2동,02-2115-7550~5 02-350-1397,73478㎡,2006년 06월 27일,지하철 6호선 증산역 4번 출구에서 은평터널방향 도보 2㎞
BE_IW14-0008,인왕산 생태경관보전지역,생태탐방,서대문구 홍제동 산1-1번지 일대 종로구 옥인동 산3-14 일대,서울특별시,서대문구,홍제2동,02-2115-7550~5 02-731-1460~2 02-330-1395,258098㎡,2007년 12월 27일,지하철 3호선 경복궁역 하차 등산진입로인 사직공원까지 도보로 5분
BE_IW14-0009,아차산 생태공원,생태탐방,서울특별시 광진구 광장동 307번지,서울특별시,광진구,광장동,02-450-7773 02-450-1192,23450㎡,2002년 3월,지하철 5호선 광나루역 1번 출구에서 광장중학교방향으로 도보 15분 지하철 5호선 아차산역 2번 출구에서 마을버스 2번 이용
BE_IW14-0010,길동자연생태공원,생태탐방,서울특별시 강동구 길동 3번지,서울특별시,강동구,길동,02-472-2770,80683㎡,1999년 04월 23일,지하철 5호선 강동역 4번 출구 천호역 6번 출구 버스이용
BE_IW14-0011,여의도샛강 생태공원,생태탐방,영등포구 여의도동(서울교 ~ 여의교),서울특별시,영등포구,여의도동,02-3780-0570~1,182000㎡,,지하철 5호선 여의도역 1번 출구로 나와 약 600m 직진
BE_IW14-0012,강서습지생태공원,생태탐방,강서구 개화동 168-2(방화대교 하류 ~ 행주대교 상류),서울특별시,강서구,방화2동,02-3780-0621~3,340000㎡,,지하철 5호선 방화역 2번출구로 나와 6번 마을버스 타고 개화육갑문 하차
BE_IW14-0013,우면산 자연생태공원,생태탐방,서초구 우면동 산34-1,서울특별시,서초구,양재1동,02- 570-6395 02-570-6379,318644㎡,,지하철 3호선 양재역 7번 출구로 나와 일반버스 3412번을 타고 종점에서 하차
BE_IW14-0014,월드컵공원,생태탐방,서울특별시 마포구 상암동 549번지,서울특별시,마포구,상암동,02-300-5524~6,2689599㎡,2004년 05월 01일,지하철 6호선 월드컵경기장 1 2번 출구
BE_IW14-0015,한강밤섬 생태경관보전지역,생태탐방,윗밤섬-영등포구 여의도동 84번지 일대 아랫밤섬-마포구 당인동 313번지 일대,서울특별시,영등포구,여의동,02-2115-7550~5 02-3780-0793~4,241490㎡,1999년 08월 10일,지하철 5호선 여의나루역 2 3번 출구에서 서강대교 방면 도보로 10분 (한강 여의도지구 조류조망대)
BE_IW14-0016,둔촌동 생태경관보전지역,생태탐방,강동구 둔촌동 212번지 일대(둔촌주공아파트 뒤편 오리나무숲),서울특별시,강동구,둔촌1동,02-2115-7550~5 02-480-1395,24696㎡,2000년 3월 6일(2002년 12월 2일 확대지정),지하철 5호선 둔촌역 2번 출구에서 둔촌주공아파트 방향으로 도보 15분
BE_IW14-0017,방이동 생태경관보전지역,생태탐방,송파구 방이동 443-8번지 일대(올림픽선수촌 아파트 뒤편 습지),서울특별시,송파구,오륜동,02-2115-7550~5 02-410-3395,58909㎡,2002년 4월 15일(2005년 11월 24일 확대지정),지하철 5호선 올림픽공원역 2번 출구에서 올림픽선수촌아파트 방향으로 도보 15분
BE_IW14-0018,탄천 생태경관보전지역,생태탐방,강남구~송파구 경계하천(탄천2교~대곡교),서울특별시,강남구,세곡동,02-2115-7550~5 02-445-1416 02-410-3395,1151466㎡,2002년 04월 15일,지하철 3호선 수서역(광평교) 학여울역(탄천2교) 하차 도보 15분
BE_IW14-0019,암사동 생태경관보전지역,생태탐방,강동구 암사동 624-1번지 일대(한강시민공원 광나루지구내 갈대군락),서울특별시,강동구,암사2동,02-2115-7550~5 02-3780-0865~6,126844㎡,2002년 12월 30일,8호선 암사역 3 4번 출구에서 천호2육갑문방향으로 도보 15분
BE_IW14-0023,헌인릉 생태경관보전지역,생태탐방,서초구 내곡동 산13-1 일대(헌인릉내 오리나무숲),서울특별시,서초구,내곡동,02-2115-7550~5 02-570-6396 02-445-0347,56639㎡,2005년 11월 24일,지하철 3호선 양재역 7번 출구로 2호선 강남역 6번 출구로 나와 4422번 버스 이용
BE_IW14-0024,남산 생태경관보전지역,생태탐방,중구 예장동 산5-6번지 일대(북사면 신갈나무림 남사면 소나무숲),서울특별시,중구,필동,02-2115-7550~5 02-3783-5960,705101㎡,2006년 6월 27일(2007년 12월 27일 확대지정),지하철 1호선 서울역 4번 출구 회현역 4번 출구 도보 20분 ※ 순환버스(02번) : 지하철 34호선 충무로역 2번 출구     지하철 3호선 동대입구 6번 출구 앞에서 탑승
BE_IW14-0025,간데메공원,산과공원,서울특별시 동대문구 서울시립대로2길 59,서울특별시,동대문구,답십리1동,02-2249-2770,,,
BE_IW14-0026,갈산공원,산과공원,서울 양천구 신정동 산73-4일대,서울특별시,양천구,신정7동,02-2620-3570,,,
BE_IW14-0027,갈현근린공원,산과공원,서울특별시 은평구 불광동 ,서울특별시,은평구,불광1동,02-351-8001~8005,,,
BE_IW14-0028,감로천생태공원,산과공원,서울특별시 금천구 독산4동 371?375 373일대,서울특별시,금천구,독산4동,02-890-2395,,,
BE_IW14-0029,개운산공원,산과공원,서울특별시 성북구 돈암동 안암동 일대,서울특별시,성북구,동선동,02-920-3795,,,
BE_IW14-0030,개웅산공원,산과공원,서울특별시 구로구 오류동 개봉동 일대,서울특별시,구로구,오류2동,02-860-2321,,,
BE_IW14-0031,개화근린공원,산과공원,방화동 산153-1,서울특별시,강서구,방화3동,,,,
BE_IW14-0032,경희궁,산과공원,서울특별시 종로구 새문안길 50,서울특별시,종로구,종로1.2.3.4가동,02-731-1650,,,
BE_IW14-0033,계남공원,산과공원,서울특별시 양천구 신정동 산44-2일대,서울특별시,양천구,신정3동,02-2620-3570,,,
BE_IW14-0034,고척공원,산과공원,서울특별시 구로구 고척동 산 9-14번지,서울특별시,구로구,고척2동,02-860-2321,,,
BE_IW14-0035,관악산(호암산),산과공원,시흥동 산93-1,서울특별시,금천구,시흥2동,02-1234-1234,,,
BE_IW14-0036,관악산공원,산과공원,서울특별시 관악구,서울특별시,관악구,청룡동,02-880-36825,,,
BE_IW14-0037,광화문시민열린마당,산과공원,서울특별시 종로구 세종로 76-2,서울특별시,종로구,사직동,02-3783-5950,,,
BE_IW14-0038,구룡산,산과공원,염곡동 산25-1,서울특별시,서초구,내곡동,,,,
BE_IW14-0039,구암공원,산과공원,서울특별시 강서구 허준로 5길 42(가양동 1471),서울특별시,강서구,가양2동,02-2600-4186,,,
BE_IW14-0040,구파발폭포(진관근린공원),산과공원,서울특별시 은평구 진관동 393,서울특별시,은평구,진관동,02-387-0236,,,
BE_IW14-0041,국립현충원,산과공원,서울특별시 동작구 현충로 65,서울특별시,동작구,사당2동,02-815-0625,,,
BE_IW14-0042,궁동공원,산과공원,서울특별시 서대문구 연희동 산118번지 일대,서울특별시,서대문구,연희동,02-330-1395,,,
BE_IW14-0043,궁산공원,산과공원,서울특별시 강서구 가양동 산6-4,서울특별시,강서구,가양1동,02-2600-4185,,,
BE_IW14-0044,금천체육공원,산과공원,(153-010) 서울특별시 금천구 독산동 산118-4번지 일대,서울특별시,금천구,독산4동,02-2627-1652 ~ 7,,,
BE_IW14-0045,금천폭포공원,산과공원,(153-701) 서울특별시 금천구 시흥동 937-2번지 일대,서울특별시,금천구,시흥3동,02-2627-1652 ~ 7,,,
BE_IW14-0046,금호근린공원,산과공원,(133-093) 서울특별시 성동구 금호동3가 1266외 1필지,서울특별시,성동구,금호2.3가동,02-2286-6319,,,
BE_IW14-0047,길동생태공원,산과공원,서울특별시 강동구 천호대로 1291(둔촌동 558),서울특별시,강동구,길동,02-472-2770,,,
BE_IW14-0048,까치산공원,산과공원,서울특별시 동작구 사당동 산32,서울특별시,동작구,사당5동,02-820-1395,,,
BE_IW14-0049,꿩고개공원,산과공원,서울특별시 강서구 방화동 산110,서울특별시,강서구,방화3동,02-2600-4183,,,
BE_IW14-0050,낙산공원,산과공원,서울특별시 종로구 낙산길 54,서울특별시,종로구,이화동,02-743-7985~6,,,
BE_IW14-0051,남산공원,산과공원,서울특별시 중구 삼일대로 231(예장동),서울특별시,중구,광희동,02-3783-5900,,,
BE_IW14-0052,노들텃밭,산과공원,(140-030) 서울특별시 용산구 양녕로 445 노들텃밭 지원센터,서울특별시,용산구,이촌2동,02-792-7520,,,
BE_IW14-0053,노량진공원,산과공원,서울특별시 동작구 대방동 23-176,서울특별시,동작구,대방동,02-820-1395,,,
BE_IW14-0054,달맞이근린공원,산과공원,(133-094) 서울특별시 성동구 금호동4가 산27외 35필지,서울특별시,성동구,금호4가동,02-2286-6319,,,
BE_IW14-0055,답십리공원,산과공원,서울특별시 동대문구 답십리동  산2-9일대,서울특별시,동대문구,답십리2동,02-2127-4772,,,
BE_IW14-0056,대모산공원,산과공원,서울특별시 강남구 개포동 산 53-22,서울특별시,강남구,개포1동,02-2104-1921,,,
BE_IW14-0057,도곡공원,산과공원,서울특별시 강남구 도곡동 산31-1번지,서울특별시,강남구,도곡1동,02-2104-1910,,,
BE_IW14-0058,도산공원,산과공원,서울특별시 강남구 신사동 649-9,서울특별시,강남구,압구정동,02-3423-6245,,,
BE_IW14-0059,동명근린공원,산과공원,서울특별시 강동구 고덕동 229일대,서울특별시,강동구,고덕2동,02-3425-6440,,,
BE_IW14-0060,마로니에공원,산과공원,서울특별시 종로구 동숭동 1-124,서울특별시,종로구,이화동,02-2148-4158,,,
BE_IW14-0061,만수천공원,산과공원,(153-010) 서울특별시 금천구 독산동 산8 일대,서울특별시,금천구,독산3동,02-2627-1652 ~ 5,,,
BE_IW14-0062,매화공원,산과공원,서울특별시 강서구 등촌동 630-14,서울특별시,강서구,등촌1동,02-2600-4186,,,
BE_IW14-0063,명일근린공원,산과공원,서울특별시 강동구 상일동 135일대,서울특별시,강동구,상일동,02-3425-6440,,,
BE_IW14-0064,문정근린공원,산과공원,(138-200) 서울특별시 송파구 문정동 2-5번지외 1필지,서울특별시,송파구,장지동,02-2137-3380,,,
BE_IW14-0065,발바닥공원,산과공원,(132-023) 서울특별시 도봉구 방학3동 270-1,서울특별시,도봉구,방학3동,02-2091-3772,,,
BE_IW14-0066,방화공원,산과공원,서울특별시 강서구 방화동 855,서울특별시,강서구,방화3동,02-2600-4185,,,
BE_IW14-0067,배봉산공원,산과공원,서울특별시 동대문구 전농동 32-20번지,서울특별시,동대문구,전농2동,02-2127-4772,,,
BE_IW14-0068,백련공원,산과공원,서울특별시 서대문구 홍은동 산11번지 일대,서울특별시,서대문구,홍은2동,02-330-1395,,,
BE_IW14-0069,보라매공원,산과공원,서울특별시 동작구 여의대방로 20길33(신대방동 395),서울특별시,동작구,신대방2동,02-2181-1187~96,,,
BE_IW14-0070,봉산도시자연공원,산과공원,서울특별시 은평구 구산동 산61,서울특별시,은평구,구산동,02-351-8002 ~ 8005,,,
BE_IW14-0071,봉은공원,산과공원,서울특별시 강남구 삼성동 73일대,서울특별시,강남구,삼성1동,02-2104-1902,,,
BE_IW14-0072,봉제산공원,산과공원,서울특별시 강서구 화곡동 산 1번지일대,서울특별시,강서구,화곡4동,02-2600-4184,,,
BE_IW14-0073,봉화산공원,산과공원,서울특별시 중랑구 묵동 산46-1,서울특별시,중랑구,묵1동,02-2094-2340~5,,,
BE_IW14-0074,북서울꿈의숲,산과공원,강북구 월계로 173,서울특별시,강북구,송중동,02-2289-4001~5,,,
BE_IW14-0075,북악산공원,산과공원,서울특별시 종로구 부암동 성북구 성북동 일대,서울특별시,종로구,부암동,02-731-0395~7,,,
BE_IW14-0076,북한산국립공원,산과공원,서울특별시 종로구 평창동 구기동 서대문구 홍은동 성북구 정릉동 성북동 일대,서울특별시,종로구,평창동,02-909-0497~8,,,
BE_IW14-0077,불광근린공원,산과공원,서울특별시 은평구 불광동 산33-1 일원,서울특별시,은평구,불광1동,02-351-8002 ~ 8005,,,
BE_IW14-0078,불암산공원,산과공원,서울특별시 노원구 중계동 일대,서울특별시,노원구,중계본동,02-2116-3966,,,
BE_IW14-0079,사육신공원,산과공원,서울특별시 동작구 노량진동 152-3,서울특별시,동작구,노량진1동,02-820-1395,,,
BE_IW14-0080,사직공원,산과공원,서울특별시 종로구 사직동 1-29번지,서울특별시,종로구,사직동,02-2148-2894/739-7205,,,
BE_IW14-0081,삼일공원,산과공원,(156-090) 서울특별시 동작구 사당동 산24-17,서울특별시,동작구,사당3동,02-820-9845,,,
BE_IW14-0082,삼청공원,산과공원,서울특별시 종로구 삼청동 산2-1,서울특별시,종로구,삼청동,02-2148-4153,,,
BE_IW14-0083,상도공원,산과공원,서울특별시 동작구 상도동 산75,서울특별시,동작구,상도3동,02-820-9848,,,
BE_IW14-0084,상암근린공원,산과공원,(121-270) 서울특별시 마포구 상암동 1693번지,서울특별시,마포구,상암동,02-3153-9553,,,
BE_IW14-0085,샘말공원,산과공원,서울시 관악구 대학동 산63-1일대 샘말공원,서울특별시,관악구,대학동,02-880-3685,,,
BE_IW14-0086,샛마을근린공원,산과공원,서울특별시 강동구 구천면로 429(명일동 288번지),서울특별시,강동구,명일1동,02-3425-6440,,,
BE_IW14-0087,서대문독립공원,산과공원,서울특별시 서대문구 통일로251(현저동 101번지) 일대,서울특별시,서대문구,천연동,02-364-4686,,,
BE_IW14-0088,서서울호수공원,산과공원,서울특별시 양천구 남부순환로 64길 20(신월동 149-20),서울특별시,양천구,신월3동,02-2604-3004,,,
BE_IW14-0089,서오릉도시자연공원,산과공원,진관동 389-3일대,서울특별시,은평구,진관동,02-351-8001~8005,,,
BE_IW14-0090,서울대공원,산과공원,경기도 과천시 막계동 159-1,경기도,과천시,문원동,02-500-7335,,,
BE_IW14-0091,서울숲,산과공원,(133-111) 서울특별시 성동구 뚝섬로 273(성수1가1동 685) ,서울특별시,성동구,성수1가1동,02-460-2901,,,
BE_IW14-0092,서울어린이대공원,산과공원,서울특별시 광진구 능동로 216,서울특별시,광진구,능동,02-450-9311,,,
BE_IW14-0093,서울창포원,산과공원,서울시 도봉구 마들로 916(도봉동 4-2),서울특별시,도봉구,도봉2동,02-954-0031,,,
BE_IW14-0094,서초문화예술공원,산과공원,(137-130) 서울특별시 서초구 양재동 200번지,서울특별시,서초구,양재2동,02-2155-6864,,,
BE_IW14-0095,선유도공원,산과공원,(07200)서울시 영등포구 선유로 343 (당산동 1) 선유도공원관리사무소,서울특별시,영등포구,당산2동,02-2631-93682634-7250,,,
BE_IW14-0096,성북공원,산과공원,서울특별시 성북구 돈암동 606번지 일대,서울특별시,성북구,돈암2동,02-920-4418,,,
BE_IW14-0097,성수공원,산과공원,서울특별시 성동구 성수2가 302-25,서울특별시,성동구,성수2가3동,02-2286-6319,,,
BE_IW14-0098,세운초록띠광장,산과공원,(110-430) 서울특별시 종로구 장사동 ,서울특별시,종로구,종로1.2.3.4가동,02-3783-5950,,,
BE_IW14-0099,세종로공원,산과공원,서울특별시 종로구 세종로 80-1번지,서울특별시,종로구,사직동,02-3783-5950,,,
BE_IW14-0100,손기정공원,산과공원,서울특별시 중구 손기정로 101(만리동2가 6-1번지),서울특별시,중구,중림동,02-3396-5894,,,
BE_IW14-0101,솔밭공원,산과공원,(142-892) 서울특별시 강북구 우이동 80번지 일대,서울특별시,강북구,우이동,02-901-6939,,,
BE_IW14-0102,송파나루공원,산과공원,서울 송파구 잠실동 47번지,서울특별시,송파구,잠실3동,02-2147-3380,,,
BE_IW14-0103,수락산공원,산과공원,서울 노원구 상계동 일대,서울특별시,노원구,상계3.4동,02-2116-3966,,,
BE_IW14-0104,시민의숲,산과공원,서울특별시 서초구 매헌로 99(양재동236),서울특별시,서초구,양재2동,02-575-3895,,,
BE_IW14-0105,신사근린공원,산과공원,서울 은평구 신사동,서울특별시,은평구,신사2동,02-351-8001~8005,,,
BE_IW14-0106,쌍문근린공원,산과공원,132 - 030 서울 도봉구 쌍문동 산80,서울특별시,도봉구,쌍문4동,02-2091-3754,,,
BE_IW14-0107,아시아공원,산과공원,서울 송파구 잠실동 84번지,서울특별시,송파구,잠실7동,02-2147-3380,,,
BE_IW14-0108,아차산,산과공원,구의2동 3,서울특별시,광진구,구의2동,,,,
BE_IW14-0001,양재천,생태탐방,서울특별시 강남구 영동2교 ~ 탄천합류부,서울특별시,강남구,삼성2동,02-445-1416,491022㎡(3.5㎞),,지하철 3호선 도곡역 삼성타워팰리스 방면으로 나와 영동 4교 진입로
BE_IW14-0002,중랑천하류 철새보호구역,생태탐방,중랑천 한강 합류부~중랑천 청계천 합류부(서울숲 서쪽),서울특별시,성동구,성수동,02-2115-7550~5 02-2290-6851,591407㎡(3.5㎞),2005년 02월 16일,국철 응봉역에서 도보로 3분 지하철 2호선 한양대역에서 도보로 2분
